original,0
"As of 2005, the Schools were: Cognitive Science (CS): includes linguistics, most psychology, some philosophy, neuroscience, and computer science.","As of 2005, the Schools were: Cognitive Science: includes linguistics, most psychology, some philosophy, neuroscience, and computer science."
"Simplification By far the most common form of language reform, simplification involves spelling simplification (cf.","The most common form of language reform is simplification, with spelling simplification."
"Early life Picasso was baptized Pablo Diego José Francisco de Paula Juan Nepomuceno María de los Remedios Crispiniano de la Santísima Trinidad, a series of names honouring various saints and relatives.",Picasso was baptized as Pablo Diego José Francisco de Paula Juan Nepomuceno María de los Remedios Crispiniano de la Santísima Trinidad.
Another 11 performances were presented after that.,Another 11 performances followed.4
"Genista juncea), also known as Weaver's Broom, is a perennial, leguminous shrub native to the Mediterranean region in southern Europe, southwest Asia and northwest Africa, where it is found in sunny sites, usually on dry, sandy soils.","Genista juncea is a perennial, leguminous shrub native to the Mediterranean region in southern Europe, southwest Asia and northwest Africa.  It is found in sunny sites, usually on dry, sandy soils."
Chlamydia is easily treated with antibiotics.,Chlamydia is treated with antibiotics.
Lyndon B. Johnson's speech outlining his Great Society program also occurred at UM.,Lyndon B. Johnson's speech stating his Great Society program also occurred at UM.
"Design philosophies Two basic designs exist: Event-driven (priority scheduling) designs switch tasks only when an event of higher priority needs service, called pre-emptive priority.","Two basic designs exist: Event-driven designs switch tasks only when an event of higher priority needs service, called pre-emptive priority."
"Almahala Tripoli is a Libyan football club based in Tripoli, Libya.",Almahala Tripoli is a Libyan football club.
However the registration law changed in 2006 and since March 2007 official vehicles have got standard number plates.,"The registration law changed in 2006.  Since March 2007, official vehicles get standard number plates."
"The lithosphere is underlain by the asthenosphere, the weaker, hotter, and deeper part of the upper mantle.","The lithosphere is over the asthenosphere which is the weaker, hotter, and deeper part of the upper mantle."
"Puerto Rico consists of the main island of Puerto Rico and various smaller islands, including Vieques, Culebra, Mona, Desecheo, and Caja de Muertos.","Puerto Rico island includes the main island and smaller islands, Vieques, Culebra, Mona, Desecheo, and Caja de Muertos."
The contemporary status of the Mandaeans has prompted a number of American intellectuals and civil rights activists to call for their government to extend refugee status to the community.,Present status of the Mandaeans has encouraged some American intellectuals and civil rights activists to call for their government to extend refugee status to the community.
"The Terms of ServicePicasa: Terms of Service permit Google to use the uploaded photos to display on the website or via RSS feeds, and also for promoting Google services royalty-free.",Terms of Service allows Google to use the uploaded photos to display on the website or via RSS feeds. And it also allows Google services to be royalty-free.
It was also during his tenure in Westminster that Pope John Paul II made a groundbreaking visit to England.,While holding position in Westminster Pope John Paul II made a visit to England.
A word consists of a root and a grammatical ending.,Words contain a root and grammatical ending.
"The ventricular muscle twitches randomly, rather than contracting in unison, and so the ventricles fail to pump blood into the arteries and into systemic circulation.",The ventricles fail to pump blood into the arteries and into systemic circulation when the ventricular muscle twitches randomly instead of in unison.
Palembang is the capital city of South Sumatra Province of Indonesia.,"Palembang is the capital of South Sumatra Province, Indonesia."
"Thus, the first such storage facility in the US was implemented at Zoar Field, about forty miles south of Buffalo.","The first storage facility in the US was built at Zoar Field, about forty miles south of Buffalo."
"In modern days, joss sticks can be used for any purpose, such as to enhance the smell of a room, or to light fire crackers.","Today joss sticks can be used for any purpose.  It can be used to make room smell better, or to light fire crackers."
Vikidia is an online encyclopedia wiki designed with Mediawiki software.,Vikidia is an online encyclopedia. It was designed with Mediawiki software.
"It takes place in an alternate history of the American frontier in the early 19th century, to some extent based on early American folklore and superstition.",It takes place in an imaginary history of the America in the early 19th century. It is based a little on early American tales and beliefs.
"The methodological ethos is identical, but there is a slight difference in the vocabulary, and Specialized is more international.","The methodological ethos is the same. There is also a slight difference in the wording, and Specialized is more international."
"They can occur at any beach with breaking waves, including the world's oceans, seas, and large lakes such as the Great Lakes in the United States of America and Canada.","They can happen at any beach with breaking waves. In the oceans, seas, and large lakes."
"All species have a distinctly bear-like gait, due to their front legs being longer than their back legs.","All species have a recognizable bear-like walking manner, because of their front legs being longer than their back legs."
Some computers can boot up from flash drives.,Some computers can start up from flash drives.
Demographics The population of the city is now largely made up of the descendants of laborers who were hired for labor from India in the 19th century.,Most of the people in the city originate from the laborers who were hired for labor from India in the 19th century.
The first parallax measurement of the distance to Alpha Centauri is published by Thomas Henderson.,The first changed measurement to Alpha Centauri is issued by Thomas Henderson.
"Primeval redwood forests, coastal mangrove stands, sphagnum bogs, desert soil crusts, roadside weed patches, wheat fields, cultivated gardens and lawns; all are encompassed by the term vegetation.","Early redwoods, mangrove stands, sphagnum, soil crusts, weed patches, wheat, garden and lawn are all considered vegetation."
Dar es Salaam was retained as the territory's administrative and commercial centre.,Dar es Salaam was kept as their business centre.
"From 1938, newer SS uniforms featured the shoulder boards of a German Oberst in addition to the oak leaf collar patches.","After 1938, SS uniforms had German Oberst shoulder boards and oak leaf collar patches."
"References External links Official site Ibanez guitars and bass museum - Ibanez instruments database, resources, user reviews, pictures History of Hoshino Gakki Co., Ltd.",The official site of Ibanez guitars and bass museum.
"In February 2007, Essjay was found to have made false claims about his academic qualifications and professional experiences on his Wikipedia user page and to journalist Stacy Schiff during an interview for The New YorkerSchiff, Stacey.",Essjay was found to have made false claims about his academic qualifications and professional experiences on his Wikipedia user page and to journalist Stacy Schiff during an interview for The New YorkerSchiff.
"Baduhennna is solely attested by Tacitus' Annals where Tacitus records that a grove in Frisia was dedicated to her, and that near this grove 900 Roman prisoners were killed in 28 CE.","Baduhennna is the only one given credit in Tacitus' Annals.  Tacitus records that a grove in Frisia was dedicated to her, and that near this grove 900 Roman prisoners were killed in 28 CE."
The orchestra is associated with the triennial Gustav Mahler Conducting Prize.,The orchestra is linked to the triennial Gustav Mahler Conducting Prize.
"Also, it hybridizes with some other wattles, notably the rare and endangered Sydney Basin species Acacia pubescens.","Also, it breeds with some other species that have lumps on their necks. Some of which are species of Acacia pubescens."
They often simply groan in disapproval in situations where a human toddler would throw a tantrum.,They often groan in disapproval in situations where a human baby would start crying.
"Because of the lack of physical characteristics supporting this group, it is very possible that the subfamily as it is currently recognized is subject to enlargement.","Because this group doesn't have a lot of physical characteristics, it is possible that the subfamily will be enlarged."
"Those who are born in the state are known as ""Capixabas"", although the precise word is ""espiritossantenses"".","Those who are born in the state are  called ""Capixabas"" or ""espiritossantenses""."
"In 1934, Dupré succeeded Charles-Marie Widor as titular organist at St. Sulpice in Paris, a post he held until his death in 1971.",Dupré succeeded Charles-Marie Widor as titular organist at St. Sulpice in Paris in 1934. He held the post until his death in 1971.
One candidate met with success: Alfred Waterson who became a Member of Parliament for the Kettering seat.,Alfred Waterson became a Member of Parliament for the Kettering seat.
This victory brought him 2000 pesetas.,This victory got him 2000 pesetas.
"His character and early life He was considered a modest, prayerful person, he was thought of as honest and pure by his classmates.","He was considered a modest, prayerful person, he was thought of as honest and pure by his classmates."
"Springville is a city in Linn County, Iowa, United States.","Springville is in Linn County, Iowa, United States."
"The rotational period of the interior of Uranus is 17 hours, 14 minutes.","The rotational time of the interior of Uranus is 17 hours, 14 minutes."
"The series attempted to create a setting of a gritty, realistic police station similar to that of NYPD Blue, but differed by focusing on the uniformed police officers rather than the detectives.","The series attempted to create a setting of a gritty, realistic police station similar to that of NYPD Blue, but its focus was uniformed police officers rather than the detectives."
Meteorological history A cut-off extratropical cyclone over the central north Pacific moved over an area of ocean with sea surface temperatures as high as 2 ° C above normal for two days.,A cut-off extratropical cyclone over the central north Pacific traveled an area of ocean with sea surface temperatures as high as 2 ° C above normal for two days.
Victoria Island (or Kitlineq) is an island in the Canadian Arctic Archipelago and straddles the boundary between Nunavut and the Northwest Territories of Canada.,Victoria Island is an island in the Canadian Arctic. It is in between Nunavut and the Northwest Territories of Canada.
Paul Jackson was installed as a producer.,Paul Jackson was a producer.
Thyme retains its flavour on drying better than many other herbs.,Thyme keeps it's flavor even when it's dry.
"Like most brooms, it has apparently leafless stems that in spring and summer are covered in profuse golden-yellow flowers.","Like most brooms, it has leafless stems which bloom in spring and summer with golden-yellow flowers."
They discover a wardrobe in Professor Digory Kirke's house that leads to the magical land of Narnia.,They find a wardrobe in Professor Digory Kirke's house that leads to the magical land of Narnia.
"If more energy is available, other elements will be ionized and green and blue nebulae become possible.","If more energy is available, other elements will be ionized and creating green and blue nebulae."
Publications Scope and preparation of the reports The IPCC reports are a compendium of peer reviewed and published science.,The IPCC reports are a compendium of peer reviewed and published science.
"Prevalence In the United States, according to Business magazine, an estimated 15 million functionally illiterate adults held jobs at the beginning of the 21st century.",Prevalence In the United States is that an estimated 15 million functionally illiterate adults held jobs at the beginning of the 21st century.
It is most commonly used in cooking and pottery.,It is usually used in cooking and pottery.
"Ólafur's second marriage was to Israeli-born Dorrit Moussaieff, to whom he became engaged in May 2000.",Ólafur was engaged to  Israeli-born Dorrit Moussaieff in May 2000. It was his second marriage.
Kurt Georg Kiesinger (6 April 1904 9 March 1988) was a conservative German politician and Chancellor of West Germany from 1 December 1966 until 21 October 1969.,Kurt Georg Kiesinger was a traditional politician and Chanellor of West Germany between 1 December 1966 - 21 October 1969.
"As a C-type, it is probably composed of carbonaceous materials.",a C-type is probably made of non-carbon materials.
"In The Tomb of the Cybermen (1967), veins and brains were visible through the domed head of the Cyberman Controller and similarly, in Attack of the Cybermen (1985) and ""The Age of Steel"" (2006), the Cyber-Controller's brain is visible through the dome.","In The Tomb of the Cybermen, veins and brains were seen through the domed head of the Cyberman Controller.  In Attack of the Cybermen and ""The Age of Steel"", the Cyber-Controller's brain is visible through the dome."
"In the case of asteroids, so many have been discovered that many will never be named by their discoverers.",Too many asteroids have been found and will not be named by their discoverers.
The color has been speculated to be due to organic compounds on its surface.,The color might be due to organic compounds on its surface.
"Convection increased on August 11, and by August 12 the interaction between a tropical wave and an upper-level low in the area resulted in a large area of disorganized thunderstorms extending from the western Caribbean Sea into the central Bahamas.","Convection increased on August 11, and by August 12 the interaction between a tropical wave and an upper-level low in the area created a large area of disorganized thunderstorms."
"Source Mage GNU / Linux A source code-based distribution, descended from Sorcerer.","Mage GNU / Linux A source code-based distribution, descended from Sorcerer."
"The term is generally applied to all of Morocco, Algeria, and Tunisia, but in older Arabic usage pertained only to the area of the three countries between the high ranges of the Atlas Mountains and the Mediterranean Sea.","The term is generally applied to all of Morocco, Algeria, and Tunisia. In older Arabic usage pertained only to the area of the three countries between the high ranges of the Atlas Mountains and the Mediterranean Sea."
"Various objection were raised to this scheme, and the Corporation refused to allow tram lines to be laid in the High Street and Above Bar.","Many complaints were raised to this scheme, and the Corporation refused to allow tram lines to be laid in the High Street and Above Bar."
Given these assumptions it is possible to calculate how often they can fail and to arrange the array to make data loss arbitrarily improbable.,We are able to calculate how often they can fail and to arrange the array to make data loss arbitrarily improbable.
Many students choose a faculty committee whose members represent their own interdisciplinary interests.,Students choose a faculty committee whose members represent their own interdisciplinary interests.
The Convent has been the official residence of the Governor of Gibraltar since 1728.,The Convent has been the residence of the Governor of Gibraltar since 1728.
It was directed by Australian Baz Luhrmann and stars Leonardo DiCaprio and Claire Danes in the eponymous roles.,It was directed by Australian Baz Luhrmann and stars Leonardo DiCaprio and Claire Danes.
Prometheus acts as a shepherd satellite for the inner edge of Saturn's F Ring.,Prometheus is the lead satellite for the inner edge of Saturn's F Ring.
"She has a three-octave vocal range Accessed August 5, 2008 and a distinctively rapid vibrato.",Her vocal range is three octaves. She is known for her rapid vibrato.
"Though he was raised in a devout Lutheran household, Bergman later stated that he lost his faith at age eight years, and only came to terms with this fact while making Winter Light.",Bergman was raised Lutheran but lost his faith at 8 years old. He accepted this while making Winter Light.
"Some define the hadopelagic as waters below 6,000 m (19,685 ft), whether in a trench or not.","Hadopelagic means waters below 6,000 meters. This can be in a trench or not."
"Tyler attended the Congressional School of Virginia, Breakwater School and Waynflete School in Portland, Maine, before returning to New York City with her mother at the age of 12.","Tyler went to the Congressional School of Virginia, Breakwater School and Waynflete School in Portland, Maine. When she was 12 she returned to New York City with her mother."
"Before Snow White, the Disney studio had been primarily involved in the production of animated short subjects in the Mickey Mouse and Silly Symphonies series.","Before Snow White, the Disney studio had been primarily involved in the production of animated short films in the Mickey Mouse and Silly Symphonies series."
Strength of the bond The atoms in metals have a strong attractive force between them.,The atoms in metals have a strong attractive force between them.
"History Arch Mineral Corporation was founded in 1969 as a partnership between Ashland Oil (now Ashland, Inc.) and the Hunt family of Dallas, Texas.","History Arch Mineral Corporation was started in 1969 as a partnership between Ashland Oil and the Hunt family of Dallas, Texas."
The term Dakshinachara (Right-Hand Path) is used to refer to Tantric sects that do not engage in these heterodox practices.,The term Dakshinachara is used to refer to Tantric sects that do not participate in heterodox practices.
He was brought in as a guitarist following Josh Brainard's departure and is the last member of the band's current line-up to have joined.,He was a guitarist there after Josh Brainard's left. He was the last member that joined the band.
"Later that year, the band released their debut album, Fresh Fruit for Rotting Vegetables.","The band released their first album during that year, Fresh Fruit for Rotting Vegetables."
"However, in criminal cases in which the sentence is expected to exceed two years, the professional judge is assisted by two lay judges with equal rights as the professional judge (Schöffengericht).","But in criminal cases where the sentence is longer than two years, the professional judge is assisted by two lay judges."
The novel received the 1961 Pulitzer Prize for Fiction.,The novel got the 1961 Pulitzer Prize.
"Within the hCard is a Geo microformat, which additionally makes the coordinates (latitude & longitude) parsable, so that they can be, say, looked up on a map, or downloaded to a GPS unit.",In the hCard is a Geo microformat. This also make coordinates analyzable so you can find them on a map or get them to a GPS.
The Sahara Pump Theory is a hypothesis that explains how flora and fauna left Africa to penetrate the Middle East and then Europe and Asia.,"The Sahara Pump Theory explains how plants and animals left Africa and went to the Middle East, Europe, and Asia."
"Description In a multiprocessor system executing a single set of instructions (SIMD), data parallelism is achieved when each processor performs the same task on different pieces of distributed data.",A multi process system that carries out one set of instructions. Data parallelism is when each processor does the same thing on different data.
Cameron Bright as Jimmy / Leech: A mutant boy whose power neutralizes the powers of nearby mutants.,Cameron Broght is a mutant who can cancel out the power of close mutants
"The first application of this idea in the United States was pioneered by Dr. William Mosenthal, a surgeon at the Dartmouth-Hitchcock Medical Center.",Dr. William Mosenthal who is a surgeon at the Dartmouth-Hitchcock Medical Center was the first to use this idea.
Cruiserweight Open for the WWE Cruiserweight Championship 10: 28 7 Goldberg defeated Brock Lesnar.,"In the WWE Cruiserweight Championship, Goldberg won over Brock Lesnar."
"A dogfight, or dog fight, is aerial combat between fighter aircraft.",A dogfight is a combat between fighter jets.
He was married to Greek duchess Sofia.,His wife was duchess Sofia.
Saint-Victoret is a commune in the Bouches-du-Rhône department in the Provence-Alpes-Côte d'Azur region in southern France.,Saint-Victoret is a community in the Bouches-du-Rhône department in the Provence-Alpes-Côte d'Azur area in southern France.
His work driving forward the development of products that are both functional and elegant has earned him a devoted following.,His work driving forward the development of products has earned him a devoted following.
"However, the term font is also often used as a metonym for typeface.",The term font is also often used as a substitute for typeface.
Ornamental plants are typically grown in the flower garden or as house plants.,Ornamental plants are grown in the flower garden or as house plants.
This belief most likely stemmed from the fact that it is possible to have the Furby say certain pre-programmed words or phrases more often by petting it whenever it said these words.,It is possible to have the Furby say certain pre-programmed words or phrases more often by petting it whenever it said these words.
"To make space for more agricultural land, large areas of forest were cut down, taking away its habitat.",Habitat was destroyed when large areas of forest were cut down to make space for agricultural land.
"This tree is a frequent destination for pilgrims, being the most important of the four main Buddhist pilgrimage sites.",This tree is a frequent destination for pilgrims. It is the most important of the four main Buddhist pilgrimage sites.
Ararat is considered the national symbol of Armenia and thus is of principal importance to the coat of arms.,Ararat is considered the national symbol of Armenia and thus is important to the coat of arms.
"In his book ""Russia at War 1941 to 1945"", Alexander Werth reported that while visiting Gdansk / Danzig in 1945 shortly after its liberation by the Red Army, he saw an experimental factory outside the city for making soap from human corpses.","In In his book ""Russia at War 1941 to 1945"", Alexander Werth said that while visiting Gdansk in 1945 after its liberation by the Red Army, he saw a factory outside the city making soap from human corpses."
"In the fall of 2006, Cavergno and Bignasco were incorporated into the municipality, despite an attempt by Bignasco to resist the incorporation in the courts.","In the fall of 2006, Cavergno and Bignasco legally became towns despite Bignasco's resistance in the courts."
Postal systems often have functions other than sending letters.,Postal systems often do more than just send letters.
"She subsequently recorded ""Kanashiki kuchibue"", which was featured on a radio program and was a national hit.","She than recorded ""Kanashiki kuchibue"", which played on a radio and was a national hit."
"ISO 3166 - 1 is part of the ISO 3166 standard published by the International Organization for Standardization (ISO), and defines codes for the names of countries, dependent territories, and special areas of geographical interest.","ISO 3166 - 1 is part of the ISO 3166 standard. It includes codes for the names of countries, dependent territories, and special areas of geographical interest."
"This method can result in infection, and injury to internal organs (for example pulling out the intestines), resulting in death.","This method can result in infection, and injury to internal organs which will cause death."
An even larger terminal to be sited nearby is also being promoted.,A larger terminal nearby is being promoted.
"National symbols intend to unite people by creating visual, verbal, or iconic representations of the national people, values, goals, or history.","National symbols are meant to unite people. They create visual, verbal, iconic descriptions of the people, values, goals, or history."
"The foundations of quantum mechanics were established during the first half of the twentieth century by Werner Heisenberg, Max Planck, Louis de Broglie, Albert Einstein, Niels Bohr, Erwin Schrödinger, Max Born, John von Neumann, Paul Dirac, Wolfgang Pauli, David Hilbert, and others.","Werner Heisenberg, Max Planck, Louis de Broglie, Albert Einstein, Niels Bohr, and many others confirmed the basis of quantum mechanics during the first half of the twentieth century"
"On August 15, convection organized into bands, and as its winds approached hurricane strength, an eye developed within the storm.","On August 15, the convection turned into bands, And there was an eye in the storm as its winds got close to hurricane strength."
"Gramophone Archive By age 15, he had already given concerts worldwide.",He had concerts worldwide by age 15.
"After attaining tropical storm status, the maximum sustained winds fluctuated for three days between 40 mph (65 km / h) and 50 mph (85 km / h).","After becoming a tropical storm, the winds were between 40-50 mph for three days."
The common soft corals on the Great Barrier Reef belong to 36 genera.,The Great Barrier Reefs common soft corals belong to 36 genera.
"In the manga, Blaine is a former Team Rocket Scientist who had combined the DNA of Mew with his own DNA, creating Mewtwo.",Blaine was a Team Rocket scientist who mixed his DNA with a Mew to make Mewtwo in the manga.
They were responsible for ensuring that people had many children and that the land produced plentiful crops.,They made sure people had many children and that the land made many crops
"As the storm began to rapidly intensify, the warning was further modified to a hurricane warning.","When the storm got quickly stronger, it changed to a hurricane warning."
"Introduction This unstaffed station on the Qingzang railway opened for service on July 1, 2006.","This station without workers on the Qingzang railway opened on July 1, 2006."
It is currently used mostly for football matches and is the home of Santos Football Club.,Today it is used for football matches. It is the home of Santos Football Club.
Contact between visiting seamen and prisoners was barred.,Contact between visiting sailors and prisoners was not allowed.
"Occultations by Hermione have been successfully observed three times so far, the last time in February, 2004.","Hermione was seen three times so far, the last time in February, 2004."
"The black core of pencils is still referred to as ""lead"", even though it never contained the element lead.","The black core of pencils is called ""lead"", even though it never contained the element lead."
This is a list of German Presidents since 1919 by longevity.,Listed are German Presidents since 1919 by longevity.
"A condiment is a relish, sauce, or seasoning added to food to impart a particular flavour or to complement the dish.","A condiment is a relish, sauce, or seasoning added to food to enhance the flavour of a dish."
"High gusts were reported throughout Texas, with a maximum gust of reported on the Coast Guard cutter Buttonwood (WLB-306) stationed at the northeastern tip of Galveston Island.","High gusts were reported throughout Texas, with the maximum gust reported by the Coast Guard cutter Buttonwood (WLB-306) stationed at the northeastern tip of Galveston Island."
"In geology, when an igneous intrusion cuts across a formation of sedimentary rock, it can be determined that the igneous intrusion is younger than the sedimentary rock.","When an igneous intrusion cuts across a formation of sedimentary rock, it can be determined that the igneous intrusion is younger than the sedimentary rock."
"A few years later, in 1840, General Zorawar Singh invaded Baltistan, captured the Raja of Skardu, who had sided with the Ladakhis, and annexed his country.","In 1840, General Zorawar Singh invaded Baltistan, captured the Raja of Skardu, who had sided with the Ladakhis, and annexed his country."
"By that time the asymmetrical nose had been cut off and discarded, possibly for additional air flow to the radiator for the car's use in and around the carnivals.","By that time the asymmetrical nose had been cut off and thrown away, possibly for additional air flow to the radiator."
This is probably one of the sources of Sarasvati / Benzaiten's close association with snakes and dragons in Japan.,This is one of the reasons for Sarasvati / Benzaiten's close association with snakes and dragons in Japan.
"Tonnerre Yaoundé are a football (soccer) club based in Yaoundé, Cameroon.","Tonnerre Yaoundé are a football (soccer) club from Yaoundé, Cameroon."
The Hainich has become the 13th national park of Germany in 1997.,The Hainich is 13th national park in Germany since 1997.
"An oratorio is a large musical composition including an orchestra, a choir, and soloists.","An oratorio is a large musical composition with an orchestra, a choir, and soloists."
Some commentators notice a connection between the character Michael K and the protagonist Josef K. in The Trial by Franz Kafka.,Some reviewers notice a connection between the character Michael K and the protagonist Josef K. in The Trial by Franz Kafka.
"Rated an F0 tornado, it touched down near Brunswick, Georgia were it snapped trees and caused moderate roof damage along its 2 mi (3.2 km) path.","Rated an F0 tornado, it touched down near Brunswick, Georgia.  It caused moderate roof damage along its 2 mi (3.2 km) path."
"The term was coined by merging the name for the two orders, Cetacea and Artiodactyla, into a single word.","The term was made by merging the name for the two orders, Cetacea and Artiodactyla, into a single word."
"In medieval England, the territories of Lancashire and Cornwall were made duchies, with certain powers accruing to their dukes.","In medieval England, the territories of Lancashire and Cornwall were made duchies.  Certain powers given to their dukes."
It was not detected again until the Hubble Space Telescope observed it in 1997.,The Hubble Space Telescope didn't see it again until 1997.
"Stegosaurian teeth were small, triangular and flat wear facets show that they did grind their food.","Stegosaurian teeth were small, triangular and flat. Facets show that they did grind their food."
"Normally, a state delegation is headed by the respective minister-president.",A state delegation is headed by the respective minister-president.
"Etymology and usage Lyric derives from the Greek word lyrikos, meaning ""singing to the lyre"".","Lyric derives from the Greek word lyrikos, meaning ""singing to the lyre""."
"Proper saddle care can extend the useful life of a saddle, often for decades.",Proper saddle care can make a saddle last for decades.
"Castlevania III: Dracula's Curse is the third game in the series' canon, featuring Simon Belmont's ancestor, Trevor Belmont.","Castlevania III: Dracula's Curse is the third game in the series' canon.  The game features Simon Belmont's ancestor, Trevor Belmont."
"Eleven departments and Institutes focused on ""Stimulating Global Evangelism"" with 25 - 40 staff, carry out the work.","Eleven departments and Institutes focused on ""Stimulating Global Evangelism"" with 25 - 40 staff doing the work."
Usucha creates a lighter and slightly more bitter tea.,Usucha makes a lighter and more bitter tea.
"Etymology The first person who used the term ""Seidenstraße"" (literally ""Silk Road"") was the German geographer Ferdinand von Richthofen in 1877.","The first person who used the word ""Seidenstraße"" was the German geographer Ferdinand von Richthofen in 1877."
Traces of the amphitheatre can still be seen in the Piazza dell'Anfiteatro.,Parts of the amphitheatre can still be seen in the Piazza dell'Anfiteatro.
"This was followed by the establishment of the Grey League (Grauer Bund), sometimes called Oberbund, in 1395 in the Upper Rhine valley.",This was followed by the establishment of the Grey League.
August 22 Hurricane Bill weakens to a Category 1 hurricane.,Hurricane Bill became a Category 1 hurricane on August 22.
"Though his father wanted him to continue his training as a goldsmith, he showed such a precocious talent in drawing that he started as an apprentice to Michael Wolgemut at the age of fifteen in 1486.","His father wanted him to be a goldsmith, but he showed such a talent in drawing that he started as an apprentice to Michael Wolgemut at the age of fifteen in 1486."
"Earthsea is a fictional realm originally created by Ursula K. Le Guin for her short story ""The Word of Unbinding"", published in 1964, that became more famous in her novel A Wizard of Earthsea, first published in 1968.","Earthsea is a made up realm originally created by Ursula K. Le Guin for her short story ""The Word of Unbinding"".  Earthsea became more famous in her book A Wizard of Earthsea, first published in 1968."
Harry Potter is a series of seven fantasy novels written by British author J. K. Rowling.,Harry Potter is a series of seven fantasy books written by the author J. K. Rowling.
The VC was introduced on 29 January 1856 by Queen Victoria to reward acts of valour during the Crimean War.,The VC was started on 29 January 1856 by Queen Victoria to honor bravery during the Crimean War.
"In 1828, Coenraad Johannes van Houten developed the first cocoa powder producing machine in the Netherlands.","In 1828, Coenraad Johannes van Houten created the first cocoa powder producing machine in the Netherlands."
"Under Adams, Sinn Féin appeared to move away from being a political voice of the Provisional IRA to becoming a professionally organised political party in both Northern Ireland and the Republic of Ireland.",Sinn Féin appeared to move away from being a political voice of the Provisional IRA to becoming a professionally organised political party in both Northern Ireland and the Republic of Ireland.
"Overview It was contested by 12 teams, and SK Admira Wien won the championship.","It was contested by 12 teams, and SK Admira Wien won the championship."
"Lisa Gerrard (born April 12, 1961) is an Australian musician, singer and composer who rose to prominence as part of the music group Dead Can Dance with former music partner Brendan Perry.","Lisa Gerrard is an Australian musician, singer and composer who became famous as part of the music group Dead Can Dance with former music partner Brendan Perry."
"By September 1 a cyclonic circulation with a diameter of 690 mile (1115 km) was evident on satellite imagery, well to the southeast of the Cape Verde Islands, and several hurricane forecast models anticipated development and strengthening.","By September 1 a cyclonic circulation with a diameter of 690 mile (1115 km) was showing up on satellite imagery.  It was to the southeast of the Cape Verde Islands, and several hurricane forecast models anticipated development and strengthening."
"It fared much better than The Rocker, opening at # 2.","It did much better than The Rocker, it was #2 when it came out."
The last Mummy film grossed over $102 million in the USA and over $400 million worldwide.,The last Mummy movie made over $102 million in the USA and over $400 million around the world
"It has a composition similar to 1 Ceres: a darkly colored surface that is heavily space weathered with the composition of primitive organic compounds, including tholins.","It is made of things that are a lot like 1 Ceres: a dark colored surface that is very worn down by space and is made up of very basic, natural minerals like tholins."
"Of the seven candidates, he topped each of the four straw polls conducted by the United Nations Security Council: on 24 July, 14 September, 28 September, and 2 October.","Out of seven choices, he came in first on each of the four straw polls that were done by the United Nations Security Council: on July 24th, September 14th, September 28th, and October 2nd."
"Approximately 1,100 mud volcanoes have been identified on land and in shallow water.","Around 1,100 mud volcanoes were found on land and in shallow water."
"In particular, Linux distributions Debian and Ubuntu have provided ready-to-use openclipart packages for easy download and install from their online software repositories.",Linux distributions Debian and Ubuntu have created ready-to-use openclipart packages for easy download and installation.
"Some of the computer models suggested the weakening tropical storm could be absorbed by a developing low to the west, which a few days later became Hurricane Epsilon.",Some forecasts show that the weakening tropical storm could be taken over by developing low which a few days later became Hurricane Epsilon.
"She is an acclaimed interpreter of the works of Mozart, Beethoven, Schubert, Chopin, Debussy and Schoenberg.","She is a famous commentator of the works of Mozart, Beethoven, Schubert, Chopin, Debussy and Schoenberg."
"Some are arboreal, with long balancing tails and other adaptations for climbing, while others are semiaquatic, with webbed feet and small external ears.","Some live in trees and have long tails and other adaptations for climbing. While others partly live in the water, with webbed feet and small ears."
In the 1920s and early 1930s he frequently worked with the London Symphony Orchestra.,In the 1920s and 1930s he often worked with the London Symphony Orchestra.
"It overlies the North Pole, touching North America in the Western hemisphere and Scandinavia and Asia in the Eastern hemisphere.",It lies over the North Pole touching North America in the West and Scandinavia and Asia in the East.
Gun dogs Gun dogs are used primarily by small game hunters using shotguns.,Gun dogs are used by small animal hunters with shotguns.
"Psychedelic music is a term that refers to a broad set of popular music styles, genres and scenes, that may include psychedelic rock, psychedelic folk, psychedelic pop, psychedelic soul, psychedelic ambient, psychedelic trance, and others.","Psychedelic music is a word that refers to a large set of popular music styles, genres and scenes, that may include psychedelic rock, psychedelic folk, psychedelic pop, psychedelic soul, psychedelic ambient, psychedelic trance, and others."
CISC and RISC The terms RISC and CISC have become less meaningful with the continued evolution of both CISC and RISC designs and implementations.,The terms RISC and CISC have become less meaningful with the continued evolution of both CISC and RISC designs and implementations.
"In Week 16, quarterback Matt Leinart went down with a shoulder injury against the 49ers, forcing Warner to see his first action since Week 4.","Quarterback Matt Leinart suffered a shoulder injury against the 49ers, forcing Warner to see his first action since Week 4."
"Although she had previously spoken in fantasies and dream sequences, Maggie's first word spoken in the normal continuity of the series occurred in ""Lisa's First Word"", when she was voiced by Elizabeth Taylor.","She had previously spoken in fantasies and dream sequences, but Maggie's first word spoken in the normal continuity of the series occurred in ""Lisa's First Word"", when she was voiced by Elizabeth Taylor."
"On September 17, 2004, Whedon announced on the movie's official website that shooting had been completed.","On September 17, 2004, Whedon wrote on the movie's website that shooting is finished."
Uses Tar was also used as seal for roofing shingles and to seal the hulls of ships and boats.,Tar was used to seal roofing shingles and to seal the hulls of ships and boats.
